Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Abusive_Count,Abusive_Words
kaum cebong kapir udah keliatan dongoknya  awal tambah dongok  hahahah,1,1,0,1,1,0,0,0,0,0,1,0,2,cebong dongok
 mah sdh nenek nenek sy heran sama cebong biasay bohong terus,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
provokasi mayat politisasi agama penyebab kekalahan pilkada dki beginilah cara cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pernah ikut pemilihan apapun kec jd wakil   bukanlah etnis mayorita,1,1,1,0,0,1,0,0,0,1,0,0,1,cebong
 cebong bang  merasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
goblog   bani cebong tukang tipu penjilat penguasa ketahuan gerakin masa dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0,2,bani cebong
wuih cebong sewot n xf x f x x xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
si tolol udah tau pemerintah rezim komunis  bobrok koruptor  pimpinan sidang dpr paya cebong url,1,1,1,0,0,1,0,0,0,1,0,0,4,tolol rezim komunis cebong
pemberitaan saracen diframing katak seakan tim prabowo  anies sandi seberulnya  media menumpahkan sakit hati katak  cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
kan ane bukan cebong udeh dibilangin  maren  ngeyel nsitu maksa ane jadi cebong,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong cebong
tahun rakyat makan aspal  beton   solusi jitu mengurangi kemiskinan keahlian cebong  tukang tipu cebong mah gitu goblok  ketulungan plonga plongo mengakibatkan optimisme berlebihan gantipresiden,1,1,0,1,0,0,0,0,1,0,1,0,3,cebong cebong goblok
hahahaha blunder lu cebong gak ngasih tuh pem pusat  alasan ham kalau rakyat aceh  mau kali  cobak kau datangi pemerintah bilang suruh buat hukum islam kaffah  aceh klau dpr a,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
cebong kacung  kt temen gw dungunya sampe  tulang sum jd jgn buang energi debat sm  xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
nikita mirzani udah pake hijab  ngomong cebang cebong udah pernah fantasiin doi belom uh ah cokorers,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
kotor ga masalah  penting bahagia warganya cebong mana ngerti,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
brahahahaaa cebong nya ngahok xf x f xa xa xf x f xa xa cebong blm cebok xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong cebong
belah duren yaaaa ngak dungu  gak cebong xf x f x x xf x f x x nmaaf ,1,1,1,0,0,0,0,0,1,1,0,0,2,dungu cebong
ahhh  kan perasaanmu  utk menghibur diri mana  cebong tdk bahagia presiden cebong punya tol cebong punya lha elo punya cuma germo xf x f x x xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,3,cebong cebong cebong
semua  terdapat  kelakuan bani cebong,1,1,0,1,0,0,0,0,1,0,1,0,2,bani cebong
cebong makin kepanasan jadi makin ngawur xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
ganti rezim kacung lah cebong mah gitu kalo ditanya,1,1,0,1,0,0,0,0,1,0,1,0,2,rezim cebong
cebong kampret  onta  ngak bersinggungan  laut,1,1,0,1,0,0,0,0,1,0,1,0,3,cebong kampret onta
  kamu malah cari musuh dasar peranakan cebong kampret,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong kampret
mungkin mrk slh tulis  slh sebut aja bu nmkst nya mungkin cebong muda kampungan xf x f x x xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong kampungan
presiden paling buruk  sejarah bangsa cebong,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
cebong  kasih fakta  bilang dusta cebong dikasih dusta  bilang realita cebonger s emang bikin gemes xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong cebong
rakyat kaum bani cebong,1,1,0,1,0,0,0,0,1,0,1,0,2,bani cebong
biasa bro  ciri cebong adu domba  so lugu namanya  cebong buzzer recehan begini xf x f x x xf x f x x xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong cebong
cebong   pernah senang lihat kejayaan pk anis   ttp sirik parahnya klu junjungan dipuji habis habisan meskipun melakukan  buruk,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
ngakak  barisan cebong sakit hati mau pake isu saracen utk nyerang anies sandi  gagal dilantik,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
